x-axis,1,2,3
second,Volt,Volt,Volt
-50.00E-06,+5.69849E-03,+1.40075378E+00,-470.77897E-03
-25.00E-06,+6.32663E-03,+1.20603016E+00,-276.05535E-03
-0.0E+00,+6.50251E-03,+1.20603016E+00,+1.60836677E+00
+25.00E-06,+6.72864E-03,+1.26256282E+00,+3.74404518E+00
+50.00E-06,+6.50251E-03,+1.01130654E+00,+3.74404518E+00
+75.00E-06,+7.13065E-03,+1.20603016E+00,+3.94505021E+00
+100.00E-06,+6.92965E-03,+1.20603016E+00,+3.74404518E+00
+125.00E-06,+6.50251E-03,+1.20603016E+00,+3.74404518E+00
+150.00E-06,+6.50251E-03,+1.20603016E+00,+3.74404518E+00
+175.00E-06,+5.69849E-03,+1.20603016E+00,+3.74404518E+00
+200.00E-06,+5.27136E-03,+1.20603016E+00,+3.74404518E+00
+225.00E-06,+4.89447E-03,+1.20603016E+00,+3.74404518E+00
+250.00E-06,+4.86935E-03,+1.20603016E+00,+3.74404518E+00
+275.00E-06,+4.09045E-03,+1.20603016E+00,+3.74404518E+00
+300.00E-06,+3.28643E-03,+1.30025127E+00,+3.74404518E+00
+325.00E-06,+3.28643E-03,+1.20603016E+00,+3.74404518E+00
+350.00E-06,+3.26131E-03,+1.40703519E+00,+3.74404518E+00
+375.00E-06,+2.65829E-03,+1.25000001E+00,+3.74404518E+00
+400.00E-06,+2.48241E-03,+1.40703519E+00,+3.74404518E+00
+425.00E-06,+2.48241E-03,+1.35050252E+00,+3.74404518E+00
+450.00E-06,+1.70352E-03,+1.21231157E+00,+3.74404518E+00
+475.00E-06,+1.85427E-03,+1.25000001E+00,+3.63097986E+00
+500.00E-06,+1.67839E-03,+1.40703519E+00,+3.74404518E+00
+525.00E-06,+1.67839E-03,+1.40703519E+00,+3.74404518E+00
+550.00E-06,+1.67839E-03,+1.40703519E+00,+3.74404518E+00
+575.00E-06,+1.67839E-03,+1.36306534E+00,+3.74404518E+00
+600.00E-06,+1.67839E-03,+1.30025127E+00,+3.74404518E+00
+625.00E-06,+1.45226E-03,+1.40703519E+00,+3.74404518E+00
+650.00E-06,+1.67839E-03,+1.40703519E+00,+3.74404518E+00
+675.00E-06,+1.67839E-03,+1.20603016E+00,+3.74404518E+00
+700.00E-06,+1.67839E-03,+1.30025127E+00,+3.74404518E+00
+725.00E-06,+1.90452E-03,+1.26256282E+00,+3.74404518E+00
+750.00E-06,+1.67839E-03,+1.40703519E+00,+3.74404518E+00
+775.00E-06,+2.30653E-03,+1.40703519E+00,+3.74404518E+00
+800.00E-06,+2.10553E-03,+1.40703519E+00,+3.74404518E+00
+825.00E-06,+2.48241E-03,+1.40703519E+00,+3.74404518E+00
+850.00E-06,+2.48241E-03,+1.40703519E+00,+3.74404518E+00
+875.00E-06,+3.28643E-03,+1.40703519E+00,+3.74404518E+00
+900.00E-06,+3.28643E-03,+1.40703519E+00,+3.74404518E+00
+925.00E-06,+3.51256E-03,+1.40703519E+00,+3.74404518E+00
+950.00E-06,+4.09045E-03,+1.41331659E+00,+3.74404518E+00
+975.00E-06,+4.71859E-03,+1.45100504E+00,+3.74404518E+00
+1.00000E-03,+5.27136E-03,+1.50125629E+00,+3.63726126E+00
+1.02500E-03,+5.69849E-03,+1.40703519E+00,+3.74404518E+00
+1.05000E-03,+7.28141E-03,+1.40703519E+00,+3.54932156E+00
+1.07500E-03,+7.48241E-03,+1.45100504E+00,+3.74404518E+00
+1.10000E-03,+8.91457E-03,+1.40703519E+00,+3.63726126E+00
+1.12500E-03,+9.71859E-03,+1.46356785E+00,+3.68751252E+00
+1.15000E-03,+10.52261E-03,+1.60175881E+00,+3.74404518E+00
+1.17500E-03,+12.13065E-03,+1.40703519E+00,+3.74404518E+00
+1.20000E-03,+13.73869E-03,+1.60804021E+00,+3.74404518E+00
+1.22500E-03,+14.54271E-03,+1.60804021E+00,+3.74404518E+00
+1.25000E-03,+15.34673E-03,+1.41331659E+00,+3.74404518E+00
+1.27500E-03,+16.15075E-03,+1.45100504E+00,+3.74404518E+00
+1.30000E-03,+16.57789E-03,+1.60804021E+00,+3.74404518E+00
+1.32500E-03,+16.95477E-03,+1.60804021E+00,+3.74404518E+00
+1.35000E-03,+16.92965E-03,+1.60804021E+00,+3.74404518E+00
+1.37500E-03,+16.32663E-03,+1.60804021E+00,+3.74404518E+00
+1.40000E-03,+16.15075E-03,+1.60804021E+00,+3.74404518E+00
+1.42500E-03,+16.15075E-03,+1.66457288E+00,+3.74404518E+00
+1.45000E-03,+16.15075E-03,+1.41331659E+00,+3.74404518E+00
+1.47500E-03,+16.15075E-03,+1.60804021E+00,+3.74404518E+00
+1.50000E-03,+16.15075E-03,+1.60804021E+00,+3.74404518E+00
