#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6067740000e+09, -4.7667050362e-01, -5.0209917128e-02, -6.3877131385e+00, -3.0366450141e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067800000e+09, -4.7679880261e-01, -4.7579631209e-02, -6.3902637706e+00, -3.0421321781e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067860000e+09, -4.7678491473e-01, -4.6380136162e-02, -6.3926467456e+00, -3.0446209066e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067920000e+09, -4.7716033459e-01, -4.7040823847e-02, -6.3847080658e+00, -3.0433252442e+00, -3.9000000000e+01, 1.7513756993e+09
3.6067980000e+09, -4.7709891200e-01, -4.6030256897e-02, -6.3875930692e+00, -3.0454108617e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068040000e+09, -4.7701352835e-01, -4.3797854334e-02, -6.3929271120e+00, -3.0500325744e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068100000e+09, -4.7439843416e-01, -4.3389759958e-02, -6.4409556019e+00, -3.0503837261e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068160000e+09, -4.7795107961e-01, -4.1880529374e-02, -6.3791125810e+00, -3.0541907547e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068220000e+09, -4.7487381101e-01, -4.0087595582e-02, -6.4375962811e+00, -3.0573749636e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068280000e+09, -4.7695788741e-01, -4.1739102453e-02, -6.3972669074e+00, -3.0543039394e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068340000e+09, -4.7665363550e-01, -3.8198299706e-02, -6.4081398249e+00, -3.0616250661e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068400000e+09, -4.7814440727e-01, -4.1352584958e-02, -6.3764551303e+00, -3.0553217651e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068460000e+09, -4.7415649891e-01, -3.9646361023e-02, -6.4513082973e+00, -3.0581721955e+00, -3.9000000000e+01, 1.7513756993e+09
3.6068520000e+09, -4.7630184889e-01, -3.8223773241e-02, -6.4144746933e+00, -3.0615131156e+00, -3.9000000000e+01, 1.7513756993e+09
